PlayerID,Player,Pos,Age,Team,G,MP,MinM,PER,TS_perc,X3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,X2022_23,C,SG,SF,PG,PF
kesslwa01,Walker Kessler,C,21,UTA,57,1212,456,21,0.698,0,0.4,15.1,24.3,19.7,5,0.9,8,12.1,13.2,3.1,1.7,4.9,0.193,1,1.4,2.4,1.3,2696400,1,0,0,0,0
siakapa01,Pascal Siakam,C,28,TOR,49,1845,392,21,0.571,0.218,0.397,5.3,19.2,11.7,26.3,1.1,1.4,10.4,27.9,4,1.5,5.5,0.144,3.8,-0.5,3.3,2.5,35448672,1,0,0,0,0
gordoaa01,Aaron Gordon,PF,27,DEN,49,1483,392,20.9,0.645,0.229,0.444,9.6,16.6,13.2,13.5,1.3,2.4,10.7,21.6,3.8,1.6,5.5,0.176,3.2,-0.3,3,1.8,19690909,0,0,0,0,1
willima07,Mark Williams,C,21,CHO,29,461,232,20.9,0.664,0,0.457,10.9,26.9,18.6,2.6,2.2,6.5,11.7,17,0.9,0.8,1.7,0.175,-0.7,0.9,0.2,0.3,3722040,1,0,0,0,0
bealbr01,Bradley Beal,SG,29,WAS,36,1183,288,20.8,0.613,0.276,0.26,2.9,8.7,5.9,26,1.3,1.6,12.7,28.5,2.1,0.9,3.1,0.124,3.7,-1.2,2.5,1.4,43279250,0,1,0,0,0
randlju01,Julius Randle,PF,28,NYK,60,2152,480,20.8,0.58,0.436,0.385,6.5,25.9,16.2,18.8,0.9,0.8,11.7,28.9,4.1,2.7,6.8,0.151,4.1,0,4.1,3.3,23760000,0,0,0,0,1
derozde01,DeMar DeRozan,SF,33,CHI,53,1925,424,20.7,0.595,0.089,0.415,1.4,12.8,7.2,22.5,1.3,1.4,9.5,28.4,3.9,2,6,0.148,1.7,0,1.8,1.8,27300000,0,0,1,0,0
williro04,Robert Williams,C,25,BOS,23,543,184,20.6,0.74,0.008,0.193,15,26.3,20.7,10,1.1,4.1,14.6,12.2,1.7,0.9,2.6,0.231,1.7,1.9,3.6,0.8,10937502,1,0,0,0,0
gaffoda01,Daniel Gafford,C,24,WAS,56,1049,448,20.5,0.742,0,0.545,12,18.8,15.6,7.2,0.9,5.9,14.4,15.3,2.9,1.4,4.4,0.199,0.6,0.8,1.5,0.9,1930681,1,0,0,0,0
sengual01,Alperen Sengün,C,20,HOU,53,1498,424,20.5,0.614,0.068,0.385,12.2,21.7,16.9,21.1,1.4,3.3,16.9,21.7,2.8,1.3,4.1,0.131,1.4,0.4,1.8,1.5,3375360,1,0,0,0,0
clarkbr01,Brandon Clarke,PF,26,MEM,51,1020,408,20.4,0.689,0.018,0.403,8.6,20.7,14.7,9.1,1.5,3.2,12,17.7,2.6,1.8,4.4,0.206,0.9,1.8,2.8,1.2,4343920,0,0,0,0,1
plumlma01,Mason Plumlee,C,32,TOT,58,1632,464,20.3,0.678,0,0.655,11.9,24.4,17.9,18.5,1.1,2,14.6,15.4,4.6,1.6,6.2,0.182,1.7,0.8,2.5,1.9,9080417,1,0,0,0,0
poeltja01,Jakob Poeltl,C,27,TOT,49,1278,392,20.2,0.634,0.002,0.33,13.3,24.9,18.8,16.6,1.5,4,17.6,18.6,2.1,1.1,3.2,0.121,0.6,0.3,0.9,0.9,9398148,1,0,0,0,0
allenja01,Jarrett Allen,C,24,CLE,54,1798,432,20,0.677,0.016,0.355,11.5,23.4,17.5,7.6,1.2,3.4,12.1,16.6,4.4,3.3,7.7,0.206,1.3,1.1,2.4,2,20000000,1,0,0,0,0
turnemy01,Myles Turner,C,26,IND,50,1489,400,19.9,0.644,0.352,0.383,5.8,23.7,14.7,6.9,1,6.9,10.6,21.4,2.7,1.9,4.6,0.149,1.4,0.8,2.2,1.6,35069500,1,0,0,0,0
garlada01,Darius Garland,PG,23,CLE,51,1794,408,19.7,0.598,0.379,0.302,1.5,7.6,4.6,35.6,1.8,0.3,14,27,3.9,2.3,6.2,0.167,3.7,-0.5,3.3,2.4,8920795,0,0,0,1,0
georgpa01,Paul George,SG,32,LAC,44,1506,352,19.7,0.592,0.44,0.268,2.4,17.4,9.9,25.6,2.1,0.9,14.4,29.3,1.7,1.9,3.7,0.117,2.5,0.2,2.7,1.8,42492492,0,1,0,0,0
valanjo01,Jos Valanciunus,C,30,NOP,58,1433,464,19.5,0.61,0.149,0.28,13,31.5,22.2,10.5,0.5,1.8,13.9,23.6,2.3,2,4.3,0.144,0.4,-0.9,-0.5,0.6,14700000,1,0,0,0,0
townska01,Karl-Anthony Towns,PF,27,MIN,21,709,168,19.3,0.625,0.386,0.343,5.7,21.3,13.6,23.3,1.1,1.8,15.7,24.9,1.3,0.8,2.1,0.145,2.4,1,3.3,1,33833400,0,0,0,0,1
vucevni01,Nikola Vucevic,C,32,CHI,59,2004,472,19.3,0.594,0.328,0.134,7,30.5,18.9,15,1,2.3,10.3,21.6,3,3,6,0.144,2.2,0.7,2.9,2.5,22000000,1,0,0,0,0
banede01,Desmond Bane,SG,24,MEM,35,1093,280,19.2,0.603,0.439,0.235,2.2,14.2,8.2,20.2,1.5,1.1,11,26.3,2.1,1.5,3.6,0.159,3.5,0.3,3.9,1.6,2130240,0,1,0,0,0
brownja02,Jaylen Brown,SF,26,BOS,48,1707,384,19.2,0.585,0.377,0.27,3.7,17.7,10.8,15.6,1.5,1.1,11.8,31.6,1.2,2.3,3.5,0.099,1.6,-0.4,1.3,1.4,28741071,0,0,1,0,0
isaacjo01,Jothan Isaac,PF,25,ORL,10,108,80,19.2,0.442,0.255,0.191,14.8,24.2,19.5,7,5.4,2.7,3.8,21.2,0,0.3,0.3,0.112,0.3,2.3,2.6,0.1,17400000,0,0,0,0,1
richani01,Nick Richards,C,25,CHO,45,776,360,19,0.66,0,0.569,14.8,20.8,17.7,4.1,0.6,4.9,12.5,16.7,1.9,0.7,2.6,0.16,-0.6,-0.9,-1.6,0.1,1782621,1,0,0,0,0
goberru01,Rudy Gobert,C,30,MIN,50,1524,400,18.9,0.694,0.008,0.618,11.9,30.5,21.4,4.1,1.2,3.8,15.5,15.9,3.1,2.5,5.6,0.176,0.1,0.5,0.6,1,38172414,1,0,0,0,0
robinmi01,Mitchell Robinson,C,24,NYK,38,1022,304,18.9,0.658,0,0.44,17.3,18.3,17.8,4.9,1.7,6.3,7.9,9.5,2.8,1.6,4.4,0.206,1,1.6,2.6,1.2,17045454,1,0,0,0,0
bouchch01,Chris Boucher,PF,30,TOR,53,1102,424,18.7,0.587,0.352,0.36,11.3,21.4,16,3,1.7,4,5.5,18.1,2.4,1.3,3.7,0.162,1.1,-0.8,0.2,0.6,12690000,0,0,0,0,1
holidjr01,Jrue Holiday,PG,32,MIL,47,1552,376,18.7,0.569,0.398,0.173,4.2,12,8.2,33.8,1.9,0.9,15.2,25.7,2.2,2.2,4.4,0.137,2.5,0.1,2.6,1.8,33665040,0,0,0,1,0
murraja01,Jamal Murray,PG,25,DEN,45,1464,360,18.6,0.575,0.38,0.234,2.9,11.6,7.4,25.9,1.4,0.6,10.6,26.3,2.6,1.2,3.8,0.126,2.8,-1.4,1.4,1.3,31650600,0,0,0,1,0
